time,hostname,return_status
2024-07-20 00:26:51.129617,google.com,Network Active
2024-07-20 00:27:01.324952,google.com,Network Active
2024-07-20 00:27:11.523276,google.com,Network Active
2024-07-20 00:27:21.709242,google.com,Network Active
2024-07-20 00:27:31.949840,google.com,Network Active
2024-07-20 00:27:42.129956,google.com,Network Active
2024-07-20 00:27:52.299592,google.com,Network Active
2024-07-20 00:28:02.447939,google.com,Network Active
2024-07-20 00:28:12.671097,google.com,Network Active
2024-07-20 00:28:22.826984,google.com,Network Active
2024-07-20 00:28:32.966595,google.com,Network Active
2024-07-20 00:28:43.127634,google.com,Network Active
2024-07-20 00:28:53.395103,google.com,Network Active
2024-07-20 00:29:03.567610,google.com,Network Active
2024-07-20 00:29:13.724687,google.com,Network Active
2024-07-20 00:29:23.902372,google.com,Network Active
2024-07-20 00:29:34.088395,google.com,Network Active
2024-07-20 00:29:44.251686,google.com,Network Active
2024-07-20 00:29:54.418123,google.com,Network Active
2024-07-20 00:30:04.618598,google.com,Network Active
2024-07-20 00:30:14.815715,google.com,Network Active
2024-07-20 00:30:24.969395,google.com,Network Active
2024-07-20 00:30:35.138672,google.com,Network Error
2024-07-20 00:30:49.145622,google.com,Network Active
2024-07-20 00:30:59.289753,google.com,Network Active
2024-07-20 00:31:09.448163,google.com,Network Active
2024-07-20 00:31:19.604998,google.com,Network Active
2024-07-20 00:31:29.757214,google.com,Network Active
2024-07-20 00:31:39.934904,google.com,Network Active
